frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
40,2.0,[107.21195713288313 239.10055090044747 675.2885001904906 571.5596148137531],[310.72808837890625 446.61279296875 467.5481872558594 485.0941467285156],0.7925979495048523,R183JF,0.9717597667406159
41,2.0,[118.13960506562842 237.86485273148824 673.9839383861539 564.2234185689329],[318.6864013671875 442.2839050292969 475.25665283203125 478.9183044433594],0.8725939989089966,RIB3JF,0.6617126946595426
42,2.0,[127.91472888882134 236.94692176839482 672.3711029652443 556.7645940497493],[324.90411376953125 437.79888916015625 474.9424133300781 472.19744873046875],0.8680415749549866,R183JF,0.9914708658858433
43,2.0,[138.27148995866224 237.0356644381174 671.2779762338657 550.0866364523424],[333.9010925292969 432.8235168457031 478.1078186035156 469.1736145019531],0.8558983206748962,R183JF,0.5842245196452889
44,2.0,[147.19157991385913 234.42216542803305 669.6790659066278 541.2498266051667],[338.74072265625 425.8026123046875 476.8022766113281 460.62384033203125],0.8173658847808838,R183*JF,0.5410987628110011
45,2.0,[156.22514538500405 229.5925448396738 668.4219817272369 530.9840468158885],[340.2589416503906 414.1913146972656 481.4738464355469 450.96307373046875],0.9162792563438416,R183JF,0.943949982748573
46,2.0,[165.38580404635337 222.60374138878217 667.3989501025017 518.3009503422417],[342.6761474609375 402.50164794921875 483.7487487792969 438.6643371582031],0.8973631262779236,R183JF,0.9895609808353304
47,2.0,[173.91601847456 217.66557356928712 665.8859823489541 507.5109424270882],[351.597900390625 395.9986877441406 482.58856201171875 431.8179016113281],0.8624028563499451,R183JF,0.9180468692034802
48,2.0,[180.62404993527713 213.34810875547083 662.4399270385061 497.42779353560303],[345.1343078613281 388.6111755371094 484.1889343261719 423.57867431640625],0.9255146980285645,R183JF,0.4952109100715989
49,2.0,[183.03142002368247 208.5442831361126 654.9275914843543 486.9249710379741],[343.8105163574219 381.3232421875 474.5421447753906 414.0998840332031],0.9294590950012207,R183JF,0.33535054481643134
50,2.0,[182.43519063449875 202.66877755167593 644.7066448507817 474.9375761316976],[340.75714111328125 369.3804626464844 470.834228515625 400.1551208496094],0.8404514193534851,R81,0.06542218537523345
51,2.0,[183.81998441562445 194.2452584168335 637.6615815430353 459.2901466925126],[339.8695068359375 353.1367492675781 469.06976318359375 386.5422668457031],0.9351139664649963,R181|F,0.3223087368433853
52,2.0,[187.91837211664995 182.5051171789513 632.5877519679063 441.0909388991819],[345.1240539550781 336.78607177734375 470.1979064941406 369.3087463378906],0.882591724395752,RIB|,0.44078262632979515
53,2.0,[193.6339265826205 172.40806585656765 629.8880321197056 425.0096334079011],[345.8188781738281 323.6264343261719 469.2108459472656 355.5157470703125],0.947817862033844,R181,0.9016309976577759
54,2.0,[199.66839705194582 163.37272079059693 626.6331521843241 411.48316311407456],[349.893310546875 316.93389892578125 468.7579345703125 345.783447265625],0.8803561925888062,RI1,0.21152100172045563
55,2.0,[204.82094405162766 154.89038490341792 623.2532813426844 398.9065076797036],[345.0120849609375 306.635986328125 469.1714172363281 334.6080627441406],0.9066210389137268,R1B,0.5487178897839059
56,2.0,[208.19785114892153 150.09063900735612 618.1600935888762 390.11604012687474],[348.09808349609375 299.8326416015625 465.1819763183594 330.5351867675781],0.9415637254714966,RIX},0.27004881831761
57,2.0,[210.1678392808182 146.91544363802825 612.4741105574292 381.62430005491774],[349.1925048828125 294.6437683105469 459.18695068359375 322.06964111328125],0.8872583508491516,KJ}JL,0.06478993414506443
70,7.0,[110.98263440167744 251.24262317572573 792.2877789262106 666.8351693600349],[459.7918395996094 499.7562561035156 625.246826171875 543.0252075195312],0.8447539806365967,C!,0.10998279601335526
71,7.0,[112.31304145276664 251.0370118022023 779.908166943994 663.0672535562686],[452.4598693847656 496.2607421875 612.7516479492188 540.3103637695312],0.8455977439880371,6},0.3431903123855591
73,7.0,[116.62029452593782 248.2052402321845 762.3918989462777 652.9727834915323],[435.97271728515625 493.25933837890625 591.2041015625 535.1171264648438],0.9057155847549438,04,0.23238438260327235
75,11.0,[107.65303540532005 242.89937276187774 743.6008209963964 654.4149718036672],[411.50848388671875 492.6545715332031 568.9913940429688 535.0757446289062],0.8696566224098206,04,0.17167462431489805
76,11.0,[106.44053129388578 243.05574408916704 730.3911926115533 650.2202069930865],[399.607177734375 491.0885009765625 557.2425537109375 533.6838989257812],0.9012099504470825,81,0.41395316141216
77,11.0,[104.10437371238316 244.09135284439012 720.5869170143876 649.1850858784434],[385.1624755859375 489.7145690917969 545.7164306640625 532.5084838867188],0.8824500441551208,04,0.27964424454127196
78,11.0,[106.06467145168835 247.46512021410365 713.7350731266254 648.60884444738],[375.22802734375 487.4523620605469 531.993408203125 530.4935913085938],0.9079775810241699,64,0.37797942035326443
80,11.0,[107.8861238756619 250.01909398202767 696.2490782399123 642.1569638062495],[353.4331970214844 486.9734191894531 510.86761474609375 532.5145874023438],0.869045078754425,N,0.24209435512612995
82,11.0,[109.17695125544623 253.14175809627818 681.5391306767556 641.4511867427815],[334.1272888183594 485.5844421386719 490.2972717285156 527.1448364257812],0.8680713772773743,NE94_,0.13402504852139632
83,11.0,[108.93190549592583 253.81177273300796 673.8361476408568 640.8711956927272],[325.6402587890625 483.8694152832031 482.88836669921875 527.4070434570312],0.871178925037384,94,0.7290577237893032
84,11.0,[107.10750367932945 253.67473524205187 667.0262181756489 639.7107137033577],[315.4454040527344 482.5339050292969 469.91058349609375 523.709716796875],0.9175413250923157,94,0.38960803540372235
85,11.0,[105.52826451022969 252.989673707522 661.523319137601 638.3186522522792],[310.6614685058594 482.0243835449219 463.5877685546875 522.0743408203125],0.8628900647163391,N€94,0.4609844408755982
88,11.0,[99.8640629896226 250.57839633427434 648.5337961795249 635.7893376846959],[290.0142822265625 476.79974365234375 444.2328796386719 516.3492431640625],0.8628343343734741,N594,0.7938656982027509
89,11.0,[99.34563063215523 249.4209449266191 647.5705011603078 635.3061998504786],[286.5321350097656 474.52716064453125 440.7265930175781 514.3468627929688],0.863888680934906,6,0.2664499545745116
90,11.0,[99.19081050358693 247.8723859119702 647.8772210451116 634.2418883150394],[282.0342102050781 472.62542724609375 436.37432861328125 512.070068359375],0.8473828434944153,N&,0.8840847351365898
91,11.0,[98.67011569205874 245.07295483292413 649.3388191374801 633.2344880299521],[282.7424621582031 468.8099060058594 438.536376953125 509.2428894042969],0.8750315308570862,N894*JI,0.1709744316309607
92,11.0,[98.81744830824005 243.9153783737607 652.0885582687014 633.6414673452819],[275.4479064941406 467.12994384765625 436.5244445800781 506.8060607910156],0.8801085948944092,N894JV,0.39393807493690053
93,11.0,[97.24062491698089 243.07054805074685 654.6964726661713 633.9497755742914],[271.9246520996094 464.94183349609375 428.541748046875 504.9615478515625],0.8439813852310181,N894],0.4452167066858951
94,11.0,[95.25020985400488 242.46029099938482 657.4530012260683 634.2196034583683],[271.9217834472656 463.03643798828125 427.162353515625 502.493408203125],0.8587735891342163,N894JV,0.6687288200628577
95,11.0,[92.4587833880957 241.79720445936914 659.4640753148421 634.1562504131881],[270.5736999511719 462.53717041015625 423.80828857421875 503.0518493652344],0.8669412732124329,N894"_,0.7704335045983851
96,11.0,[88.62084960761433 241.154454522719 660.4478792433132 634.3579648311095],[264.8778991699219 462.8515625 417.647705078125 502.8153991699219],0.8583617210388184,N894_,0.7365070514948697
97,11.0,[86.16832690767762 241.07774107770138 660.8473667368244 634.7581735006831],[265.0115966796875 463.3269958496094 416.583984375 502.1903991699219],0.9046707153320312,N894JV,0.629083222540108
98,11.0,[82.0801503544339 241.10680432060187 659.5899364522454 634.926308754888],[259.72332763671875 462.7904968261719 412.73248291015625 503.2619323730469],0.8817859888076782,N894*_,0.8231169082047983
99,11.0,[73.35770624147773 239.4255545106147 655.6349363430691 633.1624120194016],[256.64300537109375 461.7589416503906 405.3694152832031 501.2138977050781],0.8707441687583923,N894JV,0.9014675794438963
100,11.0,[73.94550397905124 237.7053808474795 656.4435993649331 631.0641605371738],[252.94593811035156 457.32171630859375 402.620361328125 496.5518493652344],0.8976143002510071,N894*JV,0.6114768526413974
101,11.0,[73.96562311599371 234.60272634675994 656.0652140698086 626.936064612389],[255.43109130859375 453.4994201660156 400.5639953613281 490.81494140625],0.8346644639968872,N894JV,0.6601193701671342
102,11.0,[75.62301403717885 229.69047404827245 656.46123662491 619.3926894802803],[251.13546752929688 445.032470703125 404.05975341796875 485.4025573730469],0.8308522701263428,N894JV,0.9743090191205582
103,11.0,[78.65799965738171 225.1130676491231 657.2330128433211 611.0088885710113],[256.5849609375 438.9209899902344 405.31170654296875 475.1103210449219],0.8943185806274414,N894JV,0.5447345609055482
104,11.0,[84.063953302583 221.29093217120072 657.4132920812406 602.0661951826012],[260.3186340332031 432.1080322265625 407.57440185546875 471.84527587890625],0.9323936104774475,N894J,0.5757228501390983
105,11.0,[90.3930657833564 218.10469493590193 656.2039265403954 593.1341960445827],[262.3299560546875 424.7404479980469 407.0351867675781 464.32244873046875],0.8889679908752441,N894JV,0.4366091430605299
106,11.0,[96.47331121253944 214.10509361424266 654.932108347644 582.6095910406643],[269.86236572265625 418.2647399902344 407.4365539550781 455.9645080566406],0.9399135112762451,N894JV,0.44827314214120895
107,11.0,[102.73750561831952 208.64231181391347 653.0864710373312 570.0469002622357],[271.2611083984375 409.7090759277344 410.6268310546875 448.4311218261719],0.8766613602638245,N894JV,0.655259455177868
108,11.0,[113.15800016940233 203.0338141621232 652.4521967874928 557.3529916719298],[276.4629211425781 400.5212707519531 411.3001708984375 436.61981201171875],0.8529241681098938,N894JV,0.45072715554490206
109,11.0,[123.46880834197532 197.18932596257977 652.7750987982845 544.4738058207032],[290.5917663574219 389.9891052246094 415.9691467285156 426.9790344238281],0.9190599918365479,M894,0.6156604843521576
110,11.0,[134.0369177673586 192.23342486098684 652.5091806037749 531.870693303811],[289.68939208984375 381.8179626464844 416.7332458496094 415.9468994140625],0.9230759739875793,N894JV,0.6895919603895277
111,11.0,[144.63504251640327 187.54756200660077 652.169294877372 520.0954814142951],[300.5452575683594 369.5397033691406 424.16851806640625 405.8969421386719],0.8398304581642151,N894JV,0.39774002205472103
112,11.0,[153.64093739769544 179.1224554680167 651.0721945798199 504.09193852793715],[302.3207702636719 356.80078125 428.90472412109375 392.97686767578125],0.8456332087516785,N894JV,0.8108377576766879
